OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 33 DEB,1997-051YD,2026-03-20T09:41:45.400416,14.52033564,.0092105,86.3393,123.6389,139.0079,221.8099,0,U,38017,999,62818,.10791E-2,.4633E-4,0
IRIDIUM 33 DEB,1997-051YJ,2026-03-20T10:21:46.597248,14.42162561,.00467811,86.2716,333.6493,85.2263,275.4277,0,U,38022,999,70601,.77326393E-3,.2597E-4,0
IRIDIUM 33 DEB,1997-051YQ,2026-03-19T09:35:18.335328,14.46533346,.00283857,86.3260,318.2629,157.4752,202.7704,0,U,38028,999,66892,.32949319E-3,.1212E-4,0
IRIDIUM 33 DEB,1997-051ZC,2026-03-19T02:06:41.193792,14.27473277,.00618232,86.2994,7.5027,240.2490,134.9140,0,U,38228,999,86156,.30530705E-3,.783E-5,0
IRIDIUM 33 DEB,1997-051ZR,2026-03-21T09:07:37.685856,14.55614164,.00054667,86.3202,307.0743,84.8793,275.3038,0,U,38241,999,61635,.64634245E-3,.284E-4,0
IRIDIUM 33 DEB,1997-051AAB,2026-03-20T09:42:45.984096,14.51254296,.00272103,86.3450,327.5062,116.4354,243.9648,0,U,38474,999,66734,.37837429E-3,.1532E-4,0
IRIDIUM 33 DEB,1997-051AAJ,2026-03-20T13:17:02.463936,14.59178477,.0058203,85.9604,127.4796,212.4144,147.3486,0,U,39777,999,61610,.18957E-2,.9172E-4,0
IRIDIUM 33 DEB,1997-051AAK,2026-03-20T12:28:46.631424,14.55194953,.00098173,86.3830,0.7539,60.9787,299.2403,0,U,39778,999,62114,.75959195E-3,.3306E-4,0
IRIDIUM 33 DEB,1997-051ABJ,2026-03-18T10:20:21.128640,15.05331375,.00097544,86.3493,316.3879,60.9534,60.8654,0,U,40996,999,63923,.18484599E-2,.26572E-3,0
IRIDIUM 33 DEB,1997-051ABL,2026-03-20T13:18:48.252960,14.45504117,.00095854,86.3880,11.8556,105.6376,20.7682,0,U,40998,999,8094,.4685059E-3,.1671E-4,0
