OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-11519 [DTC],2025-006G,2026-03-20T11:18:57.687264,15.70882787,.00011091,42.9996,75.3048,260.4777,99.5965,0,U,62560,999,6829,.1431518E-2,.18778E-2,0
STARLINK-11451 [DTC],2025-006H,2026-03-21T06:06:44.964576,15.70925458,.00008095,43.0000,69.9700,238.4569,121.6220,0,U,62561,999,6842,.24275379E-2,.324692E-2,0
STARLINK-11530 [DTC],2025-006J,2026-03-20T08:14:31.718688,15.70873534,.00017695,43.0027,76.0623,256.0220,104.0451,0,U,62562,999,6827,.10021182E-2,.130357E-2,0
STARLINK-11536 [DTC],2025-006K,2026-03-21T06:14:23.692416,15.70997565,.0001046,43.0004,70.0125,216.4473,143.6323,0,U,62563,999,6842,.19924443E-2,.26529E-2,0
STARLINK-11540 [DTC],2025-006L,2026-03-21T00:38:44.375136,15.70994115,.00024846,43.0014,71.7167,268.9982,91.0601,0,U,62564,999,6838,.15148783E-2,.199979E-2,0
STARLINK-11523 [DTC],2025-006M,2026-03-20T11:02:21.339744,15.70889422,.00016123,43.0011,75.2073,252.7492,107.3199,0,U,62565,999,6829,.14124485E-2,.185268E-2,0
STARLINK-11525 [DTC],2025-006N,2026-03-20T06:50:36.976416,15.70788868,.0002034,42.9992,76.4847,279.0576,81.0061,0,U,62566,999,6826,-.11651E-2,-.147039E-2,0
STARLINK-32752,2025-006P,2026-03-20T16:30:05.821632,15.27600289,.00016979,43.0011,230.5524,267.6634,92.4024,0,U,62567,999,6654,.80885033E-3,.22076E-3,0
STARLINK-32760,2025-006Q,2026-03-20T16:37:28.981056,15.27599076,.00011274,42.9992,230.5763,265.2868,94.7855,0,U,62568,999,6654,.63461865E-3,.17252E-3,0
STARLINK-32715,2025-006R,2026-03-21T02:15:22.783680,15.27598521,.0001064,42.9952,228.4388,296.0407,64.0335,0,U,62569,999,6660,.78934724E-3,.21535E-3,0
STARLINK-32764,2025-006S,2026-03-20T18:35:42.062496,15.27597628,.00014597,43.0000,230.3416,270.0185,90.0500,0,U,62570,999,6655,.12717654E-2,.34919E-3,0
STARLINK-32773,2025-006T,2026-03-20T19:12:30.131136,15.27558912,.00020088,43.0038,229.6771,275.6591,84.4032,0,U,62571,999,6656,.72676665E-3,.19778E-3,0
STARLINK-32750,2025-006U,2026-03-21T02:37:22.006272,15.27589387,.00015984,43.0015,227.6843,279.8121,80.2550,0,U,62572,999,6661,.14175269E-2,.38963E-3,0
STARLINK-32771,2025-006V,2026-03-20T09:36:27.535680,15.27567289,.00013514,43.0025,231.8294,281.9275,78.1425,0,U,62573,999,6650,.62770029E-3,.17044E-3,0
STARLINK-32766,2025-006W,2026-03-20T16:18:58.868064,15.27594729,.00014752,43.0003,230.4839,235.5039,124.5674,0,U,62574,999,6654,.47672945E-3,.12885E-3,0
CENTISPACE-1 S7,2025-007B,2026-03-21T04:37:26.211072,13.80231114,.00094897,54.9751,239.7428,254.7086,105.2822,0,U,62576,999,6256,.58509685E-4,-.79E-6,0
CENTISPACE-1 S8,2025-007C,2026-03-21T05:57:24.660576,13.79153974,.00083936,54.9838,239.0426,283.9665,76.0357,0,U,62577,999,6258,.60866586E-4,-.77E-6,0
CENTISPACE-1 S9,2025-007D,2026-03-21T04:59:59.549568,13.80494323,.00086639,54.9811,239.9540,261.5114,98.4861,0,U,62578,999,6256,.21080546E-4,-.118E-5,0
CENTISPACE-1 S10,2025-007E,2026-03-21T05:29:58.809696,13.80637805,.00087325,54.9876,239.0011,284.4568,75.5419,0,U,62579,999,6258,.33502098E-4,-.105E-5,0
CENTISPACE-1 S11,2025-007F,2026-03-21T04:06:49.558752,13.80562394,.00083745,54.9763,238.9251,284.3102,75.6925,0,U,62580,999,6257,.2411139E-4,-.115E-5,0
CENTISPACE-1 S12,2025-007G,2026-03-21T04:44:25.482624,13.79180060,.00090212,54.9756,239.0923,295.2243,64.7777,0,U,62581,999,6258,.77239035E-4,-.6E-6,0
